"company_id","city","state_name","lat","lng","population","position_count","wage_median"
4605,"Baton Rouge","Louisiana",30.442,-91.1311,635671,82,111850
307,"Allentown","Pennsylvania",40.5961,-75.4756,627863,4,141810
9590,"Allentown","Pennsylvania",40.5961,-75.4756,627863,3,160000
9590,"Knoxville","Tennessee",35.9692,-83.9496,615829,2,130900
4605,"Albany","New York",42.6664,-73.7987,590694,60,135000
9604,"Albany","New York",42.6664,-73.7987,590694,4,124000
9590,"Albany","New York",42.6664,-73.7987,590694,3,61173
57585,"New Haven","Connecticut",41.3113,-72.9246,565572,2,172000
9590,"Akron","Ohio",41.0798,-81.5219,541945,3,129750
132,"Wichita","Kansas",37.6895,-97.3443,509003,11,167440
9590,"Harrisburg","Pennsylvania",40.2752,-76.8843,498329,3,128900
9590,"Port St. Lucie","Florida",27.2796,-80.3884,462047,20,142800
9590,"Little Rock","Arkansas",34.7256,-92.3577,459409,18,51563
27732,"Madison","Wisconsin",43.0822,-89.393,451652,38,130000
132,"Madison","Wisconsin",43.0822,-89.393,451652,8,174575
9590,"Madison","Wisconsin",43.0822,-89.393,451652,7,119004
4605,"Madison","Wisconsin",43.0822,-89.393,451652,5,133506
9604,"Madison","Wisconsin",43.0822,-89.393,451652,2,147350
9604,"Boise","Idaho",43.6005,-116.2308,449776,16,174250
9590,"Boise","Idaho",43.6005,-116.2308,449776,5,130000
4605,"Oakland","California",37.7904,-122.2166,437825,2,224613
9590,"Chattanooga","Tennessee",35.066,-85.2481,406849,9,63003
9590,"Greenville","South Carolina",34.8354,-82.3646,401443,26,115000
494,"Durham","North Carolina",35.9792,-78.9022,399616,68,179634
9590,"Aurora","Colorado",39.7083,-104.7237,387349,25,129522
9590,"Victorville","California",34.5277,-117.3536,364015,4,67100
4605,"Huntsville","Alabama",34.6981,-86.6412,349482,7,121911
9604,"Honolulu","Hawaii",21.3294,-157.846,348547,3,134422
4605,"Honolulu","Hawaii",21.3294,-157.846,348547,2,95000
9590,"Fort Wayne","Indiana",41.0888,-85.1436,337163,21,129500
27732,"Fort Wayne","Indiana",41.0888,-85.1436,337163,3,117000
9590,"Fayetteville","North Carolina",35.085,-78.9772,328804,5,117805
9590,"Lexington","Kentucky",38.0423,-84.4587,321276,10,114549
9604,"Lexington","Kentucky",38.0423,-84.4587,321276,2,140000
9590,"Henderson","Nevada",36.0133,-115.0381,318063,7,134900
132,"Santa Ana","California",33.7367,-117.8819,311379,2,230000
9590,"Ann Arbor","Michigan",42.2759,-83.731,308983,2,98030
4605,"Newark","New Jersey",40.7245,-74.1725,307355,2,130719
132,"Irvine","California",33.6772,-117.7738,304527,46,160000
27732,"Irvine","California",33.6772,-117.7738,304527,85,156000
9590,"Irvine","California",33.6772,-117.7738,304527,215,117000
9604,"Irvine","California",33.6772,-117.7738,304527,6,149142
27732,"Lincoln","Nebraska",40.8099,-96.6784,290531,8,122358
191,"Jersey City","New Jersey",40.7184,-74.0686,287899,7,193000
57585,"Jersey City","New Jersey",40.7184,-74.0686,287899,2,190000
27732,"Jersey City","New Jersey",40.7184,-74.0686,287899,4,168000
4605,"Plano","Texas",33.0502,-96.7486,284948,5,140046
9604,"Plano","Texas",33.0502,-96.7486,284948,2,140200
9590,"Shreveport","Louisiana",32.4653,-93.7955,283536,20,115000
9590,"Davenport","Iowa",41.5565,-90.6053,281333,20,152000
9590,"Lakeland","Florida",28.0557,-81.9545,280346,12,146300
9590,"Chandler","Arizona",33.2825,-111.8514,275618,7,136000
9590,"Rockford","Illinois",42.2596,-89.064,273237,13,65000
9590,"Reading","Pennsylvania",40.34,-75.9267,272712,22,51750
9590,"Wilmington","North Carolina",34.2099,-77.8866,268625,2,180000
9590,"Santa Clarita","California",34.4175,-118.4964,268273,3,138000
9590,"North Las Vegas","Nevada",36.2883,-115.0888,264022,11,82659
9590,"Tallahassee","Florida",30.4551,-84.2527,258696,14,54850
9604,"Irving","Texas",32.8583,-96.9702,254962,130,125000
